county_code,Age,Weather,Work,Population,Foreigners,Cost,Lake,Land,Sightseeing,Airport,Ocean,Business,Law,Social,Natural,Engineering
0,0.0,0.7901858777974216,1.0,0.9999999999999999,0.022973339525689772,0.9999999999999999,0.10144651158632723,0.0,0.2664067576348278,0.4647377938517179,1.0,1.0,0.0,1.0,1.0,1.0
1,0.19540229885057592,0.7127021631541477,0.07434690897290282,0.1207633152947878,0.02316908128804935,0.3138132443298187,0.08309212066596067,0.5263736460787469,0.3231535629196448,0.13682941531042797,0.5112932569983187,0.0,0.0,0.0,1.0,0.0
3,0.47126436781609193,0.8438729045216777,0.08983449618692198,0.11563657077755624,0.010444966065787147,0.49732230903436236,0.5362814821702605,0.6220595937429876,0.25492744206194495,0.20313441832429174,0.2820559059015258,0.0,0.0,0.0,0.0,1.0
9,0.3793103448275872,0.9999999999999998,0.4317783546973877,0.3414981486755909,0.0,0.0,0.0,0.4726416737083472,0.3144628546675331,0.4834237492465341,0.5873103181369712,0.0,0.0,1.0,0.0,1.0
11,0.40229885057471293,0.8564350613774299,0.5695521661528476,0.194531472514953,0.05251193441299164,0.03375559432602593,0.7105823809000721,0.564595897622999,1.0,1.0,0.28241978239278454,0.0,0.0,1.0,1.0,1.0
12,1.0,0.5521742901154856,0.047241603115365904,0.03788094559954429,0.053057606844781,0.2165819616172343,1.0,0.770537628074917,0.1072936972059779,0.03676913803496085,0.0,0.0,0.0,1.0,0.0,0.0
14,0.6666666666666696,0.7337582461010261,0.03790361836767808,0.14326402734263743,0.004148866423477046,0.2191003565197603,0.4307401480778287,0.9569464035048336,0.039284167208143844,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,1.0,0.33941208125155403,0.052068797663475594,0.020791797208772427,0.07825512307784759,0.26411287263900474,0.2992619818325407,1.0,0.00795971410006499,0.004822182037371947,0.0,0.0,0.0,0.0,0.0,1.0
16,0.9770114942528743,0.4744394384294249,0.046089566769430476,0.0373113073198519,0.5345454585373145,0.24942729272547975,0.23056551163201963,0.6222263691877765,0.0,0.08197709463532249,0.37591826040737664,1.0,0.0,0.0,0.0,0.0
18,0.8965517241379306,0.02515150265041277,0.0,0.0,0.9368158193995071,0.008268224228172638,0.39624696042026086,0.9682414787682847,0.08966861598440548,0.016877637130801704,0.0,0.0,0.0,0.0,1.0,0.0
19,0.5632183908045985,0.0,0.04245497322732436,0.006266021076616348,1.0,0.22318136994614274,0.24545363209599644,0.796582339614684,0.06124106562703055,0.18685955394816156,0.20759068876111275,0.0,0.0,0.0,0.0,1.0
