county_code,Average temperature
20,-0.46824742700000005
0,7.097330761
5,7.4320575
10,8.111061982
2,7.370597064
17,2.818489671
18,1.529947935
1,6.53345871
15,3.816915691
6,7.7509676810000006
7,7.8766829970000005
8,8.189835548
3,7.488027232
14,6.686690092
9,8.62421057
12,5.365249604
11,7.579445786
4,6.94475174
16,4.799549954
19,1.346912965
