county_code,2015
0,20650
1,15327
2,13802
3,21685
4,23771
5,18517
6,22114
7,5312
8,8125
9,34502
10,14570
11,55292
12,25060
13,15693
14,10343
15,30993
16,25757
17,27357
18,34536
19,45373
20,44649
