county_code,Average rain [mm]
20,800.0152527
0,644.3016478999999
5,871.2902069
10,1265.853707
2,632.3611908
17,719.7468262
18,802.8115478999999
1,660.7267107000001
15,697.5245727999999
6,664.0584488
7,806.4912312999999
8,848.648584
3,668.877546
14,652.5282288
9,963.734314
12,824.3357391
11,976.3276163999999
4,843.5054550000001
16,724.5385392999999
19,767.7369873
