county_code,2015
0,17650.0
1,19746.0
2,14273.0
3,17226.0
4,9885.0
5,12883.0
6,
7,13158.0
8,4114.0
9,19425.0
10,7575.0
11,44746.0
12,11773.0
13,3245.0
14,9261.0
15,8104.0
16,7810.0
17,8605.0
18,11122.0
19,10072.0
20,18749.0
